Length(mm) ,Width(mm),Freq (GHz),S11(dB)
1.994,2.5635,42.17,-34.94881
1.993,2.5623,42.18,-34.9817
1.993,2.5612,42.19,-35.01459
1.992,2.5601,42.2,-35.04748
1.991,2.559,42.21,-35.08037
1.99,2.5579,42.22,-35.11326
1.989,2.5567,42.23,-35.14615
1.988,2.5556,42.24,-35.17904
1.987,2.5545,42.25,-35.21193
1.986,2.5534,42.26,-35.24482
1.985,2.5522,42.27,-35.27771
1.984,2.5511,42.28,-35.3106
1.983,2.55,42.29,-35.34349
1.982,2.5489,42.3,-35.37638
1.981,2.5477,42.31,-35.40927
1.98,2.5466,42.32,-35.44216
1.979,2.5455,42.33,-35.47505
1.978,2.5444,42.34,-35.50794
1.977,2.5433,42.35,-35.54083
1.976,2.5421,42.36,-35.57372
1.975,2.541,42.37,-35.60661
1.974,2.5399,42.38,-35.6395
1.973,2.5388,42.39,-35.67239
1.972,2.5376,42.4,-35.70528
1.971,2.5365,42.41,-35.73817
1.97,2.5354,42.42,-35.77106
1.969,2.5343,42.43,-35.80395
1.968,2.5332,42.44,-35.83684
1.967,2.532,42.45,-35.86973
1.966,2.5309,42.46,-35.90262
1.965,2.5298,42.47,-35.93551
1.964,2.5287,42.48,-35.9684
1.963,2.5275,42.49,-36.00129
1.962,2.5264,42.5,-36.03418
1.962,2.5253,42.51,-36.06707
1.961,2.5242,42.52,-36.09996
1.96,2.5231,42.53,-36.13285
1.959,2.5219,42.54,-36.16574
1.958,2.5208,42.55,-36.19863
1.957,2.5197,42.56,-36.23152
1.956,2.5186,42.57,-36.26441
1.955,2.5174,42.58,-36.2973
1.954,2.5163,42.59,-36.33019
1.953,2.5152,42.6,-36.36308
1.952,2.5141,42.61,-36.39597
1.951,2.513,42.62,-36.42886
1.95,2.5118,42.63,-36.46175
1.949,2.5107,42.64,-36.49464
1.948,2.5096,42.65,-36.52753
1.947,2.5085,42.66,-36.56042
1.946,2.5073,42.67,-36.59331
1.945,2.5062,42.68,-36.6262
1.944,2.5051,42.69,-36.65909
1.943,2.504,42.7,-36.69198
1.942,2.5029,42.71,-36.72487
1.941,2.5017,42.72,-36.75776
1.94,2.5006,42.73,-36.79065
1.939,2.4995,42.74,-36.82354
1.938,2.4984,42.75,-36.85643
1.937,2.4972,42.76,-36.88932
1.936,2.4961,42.77,-36.92221
1.935,2.495,42.78,-36.9551
1.934,2.4939,42.79,-36.98799
1.933,2.4928,42.8,-37.02088
1.932,2.4916,42.81,-37.05377
1.931,2.4905,42.82,-37.08666
1.931,2.4894,42.83,-37.11955
1.93,2.4883,42.84,-37.15244
1.929,2.4871,42.85,-37.18533
1.928,2.486,42.86,-37.21822
1.927,2.4849,42.87,-37.25111
1.926,2.4838,42.88,-37.284
1.925,2.4827,42.89,-37.31689
1.924,2.4815,42.9,-37.34978
1.923,2.4804,42.91,-37.38267
1.922,2.4793,42.92,-37.41556
1.921,2.4782,42.93,-37.44845
1.92,2.477,42.94,-37.48134
1.919,2.4759,42.95,-37.51423
1.918,2.4748,42.96,-37.54712
1.917,2.4737,42.97,-37.58001
1.916,2.4726,42.98,-37.6129
1.915,2.4714,42.99,-37.64579
1.914,2.4703,43,-37.67868
1.913,2.4692,43.01,-37.71157
1.912,2.4681,43.02,-37.74446
1.911,2.4669,43.03,-37.77735
1.91,2.4658,43.04,-37.81024
1.909,2.4647,43.05,-37.84313
1.908,2.4636,43.06,-37.87602
1.907,2.4625,43.07,-37.90891
1.906,2.4613,43.08,-37.9418
1.905,2.4602,43.09,-37.97469
1.904,2.4591,43.1,-38.00758
1.903,2.458,43.11,-38.04047
1.902,2.4568,43.12,-38.07336
1.901,2.4557,43.13,-38.10625
1.9,2.4546,43.14,-38.13914
1.899,2.4535,43.15,-38.17203
1.899,2.4523,43.16,-38.20492
1.898,2.4512,43.17,-38.23781
1.897,2.4501,43.18,-38.2707
1.896,2.449,43.19,-38.30359
1.895,2.4479,43.2,-38.33648
1.894,2.4467,43.21,-38.36937
1.893,2.4456,43.22,-38.40226
1.892,2.4445,43.23,-38.43515
1.891,2.4434,43.24,-38.46804
1.89,2.4422,43.25,-38.50093
1.889,2.4411,43.26,-38.53382
1.888,2.44,43.27,-38.56671
1.887,2.4389,43.28,-38.5996
1.886,2.4378,43.29,-38.63249
1.885,2.4366,43.3,-38.66538
1.884,2.4355,43.31,-38.69827
1.883,2.4344,43.32,-38.73116
1.882,2.4333,43.33,-38.76405
1.881,2.4321,43.34,-38.79694
1.88,2.431,43.35,-38.82983
1.879,2.4299,43.36,-38.86272
1.878,2.4288,43.37,-38.89561
1.877,2.4277,43.38,-38.9285
1.876,2.4265,43.39,-38.96139
1.875,2.4254,43.4,-38.99428
1.874,2.4243,43.41,-39.02717
1.873,2.4232,43.42,-39.06006
1.872,2.422,43.43,-39.09295
1.871,2.4209,43.44,-39.12584
1.87,2.4198,43.45,-39.15873
1.869,2.4187,43.46,-39.19162
1.868,2.4176,43.47,-39.22451
1.868,2.4164,43.48,-39.2574
1.867,2.4153,43.49,-39.29029
1.866,2.4142,43.5,-39.32318
1.865,2.4131,43.51,-39.35607
1.864,2.4119,43.52,-39.38896
1.863,2.4108,43.53,-39.42185
1.862,2.4097,43.54,-39.45474
1.861,2.4086,43.55,-39.48763
1.86,2.4075,43.56,-39.52052
1.859,2.4063,43.57,-39.55341
1.858,2.4052,43.58,-39.5863
1.857,2.4041,43.59,-39.61919
1.856,2.403,43.6,-39.65208
1.855,2.4018,43.61,-39.68497
1.854,2.4007,43.62,-39.71786
1.853,2.3996,43.63,-39.75075
1.852,2.3985,43.64,-39.78364
1.851,2.3974,43.65,-39.81653
1.85,2.3962,43.66,-39.84942
1.849,2.3951,43.67,-39.88231
1.848,2.394,43.68,-39.9152
1.847,2.3929,43.69,-39.94809
1.846,2.3917,43.7,-39.98098
1.845,2.3906,43.71,-20.04964
1.844,2.3895,43.72,-20.08253
1.843,2.3884,43.73,-20.11542
1.842,2.3873,43.74,-20.14831
1.841,2.3861,43.75,-20.1812
1.84,2.385,43.76,-20.21409
1.839,2.3839,43.77,-20.24698
1.838,2.3828,43.78,-20.27987
1.837,2.3816,43.79,-20.31276
1.837,2.3805,43.8,-20.34565
1.836,2.3794,43.81,-20.37854
1.835,2.3783,43.82,-20.41143
1.834,2.3772,43.83,-20.44432
1.833,2.376,43.84,-20.47721
1.832,2.3749,43.85,-20.5101
1.831,2.3738,43.86,-20.54299
1.83,2.3727,43.87,-20.57588
1.829,2.3715,43.88,-20.60877
1.828,2.3704,43.89,-20.64166
1.827,2.3693,43.9,-20.67455
1.826,2.3682,43.91,-20.70744
1.825,2.3671,43.92,-20.74033
1.824,2.3659,43.93,-20.77322
1.823,2.3648,43.94,-20.80611
1.822,2.3637,43.95,-20.839
1.821,2.3626,43.96,-20.87189
1.82,2.3614,43.97,-20.90478
1.819,2.3603,43.98,-20.93767
1.818,2.3592,43.99,-20.97056
1.817,2.3581,44,-21.00345
1.816,2.3569,44.01,-21.03634
1.815,2.3558,44.02,-21.06923
1.814,2.3547,44.03,-21.10212
1.813,2.3536,44.04,-21.13501
1.812,2.3525,44.05,-21.1679
1.811,2.3513,44.06,-21.20079
1.81,2.3502,44.07,-21.23368
1.809,2.3491,44.08,-21.26657
1.808,2.348,44.09,-21.29946
1.807,2.3468,44.1,-21.33235
1.806,2.3457,44.11,-21.36524
1.806,2.3446,44.12,-21.39813
1.805,2.3435,44.13,-21.43102
1.804,2.3424,44.14,-21.46391
1.803,2.3412,44.15,-21.4968
1.802,2.3401,44.16,-21.52969
1.801,2.339,44.17,-21.56258
1.8,2.3379,44.18,-21.59547
1.799,2.3367,44.19,-21.62836
1.798,2.3356,44.2,-21.66125
1.797,2.3345,44.21,-21.69414
1.796,2.3334,44.22,-21.72703
1.795,2.3323,44.23,-21.75992
1.794,2.3311,44.24,-21.79281
1.793,2.33,44.25,-21.8257
1.792,2.3289,44.26,-21.85859
1.791,2.3278,44.27,-21.89148
1.79,2.3266,44.28,-21.92437
1.789,2.3255,44.29,-21.95726
1.788,2.3244,44.3,-21.99015
1.787,2.3233,44.31,-22.02304
1.786,2.3222,44.32,-22.05593
1.785,2.321,44.33,-22.08882
1.784,2.3199,44.34,-22.12171
1.783,2.3188,44.35,-22.1546
1.782,2.3177,44.36,-22.18749
1.781,2.3165,44.37,-22.22038
1.78,2.3154,44.38,-22.25327
1.779,2.3143,44.39,-22.28616
1.778,2.3132,44.4,-22.31905
1.777,2.3121,44.41,-22.35194
1.776,2.3109,44.42,-22.38483
1.775,2.3098,44.43,-22.41772
1.775,2.3087,44.44,-22.45061
1.774,2.3076,44.45,-22.4835
1.773,2.3064,44.46,-22.51639
1.772,2.3053,44.47,-22.54928
1.771,2.3042,44.48,-22.58217
1.77,2.3031,44.49,-22.61506
1.769,2.302,44.5,-22.64795
1.768,2.3008,44.51,-22.68084
1.767,2.2997,44.52,-22.71373
1.766,2.2986,44.53,-22.74662
1.765,2.2975,44.54,-22.77951
1.764,2.2963,44.55,-22.8124
1.763,2.2952,44.56,-22.84529
1.762,2.2941,44.57,-22.87818
1.761,2.293,44.58,-22.91107
1.76,2.2919,44.59,-22.94396
1.759,2.2907,44.6,-22.97685
1.758,2.2896,44.61,-23.00974
1.757,2.2885,44.62,-23.04263
1.756,2.2874,44.63,-23.07552
1.755,2.2862,44.64,-23.10841
1.754,2.2851,44.65,-23.1413
1.753,2.284,44.66,-23.17419
1.752,2.2829,44.67,-23.20708
1.751,2.2818,44.68,-23.23997
1.75,2.2806,44.69,-23.27286
1.749,2.2795,44.7,-23.30575
1.748,2.2784,44.71,-23.33864
1.747,2.2773,44.72,-23.37153
1.746,2.2761,44.73,-23.40442
1.745,2.275,44.74,-23.43731
1.744,2.2739,44.75,-23.4702
1.744,2.2728,44.76,-23.50309
1.743,2.2717,44.77,-23.53598
1.742,2.2705,44.78,-23.56887
1.741,2.2694,44.79,-23.60176
1.74,2.2683,44.8,-23.63465
1.739,2.2672,44.81,-23.66754
1.738,2.266,44.82,-23.70043
1.737,2.2649,44.83,-23.73332
1.736,2.2638,44.84,-23.76621
1.735,2.2627,44.85,-23.7991
1.734,2.2615,44.86,-23.83199
1.733,2.2604,44.87,-23.86488
1.732,2.2593,44.88,-23.89777
1.731,2.2582,44.89,-23.93066
1.73,2.2571,44.9,-23.96355
1.729,2.2559,44.91,-23.99644
1.728,2.2548,44.92,-24.02933
1.727,2.2537,44.93,-24.06222
1.726,2.2526,44.94,-24.09511
1.725,2.2514,44.95,-24.128
1.724,2.2503,44.96,-24.16089
1.723,2.2492,44.97,-24.19378
1.722,2.2481,44.98,-24.22667
1.721,2.247,44.99,-24.25956
1.72,2.2458,45,-24.29245
2.931,3.6488,32.5,-24.32534
2.93,3.6477,32.51,-24.35823
2.929,3.6465,32.52,-24.39112
2.928,3.6454,32.53,-24.42401
2.927,3.6443,32.54,-24.4569
2.926,3.6432,32.55,-24.48979
2.926,3.642,32.56,-24.52268
2.925,3.6409,32.57,-24.55557
2.924,3.6398,32.58,-24.58846
2.923,3.6387,32.59,-24.62135
2.922,3.6376,32.6,-24.65424
2.921,3.6364,32.61,-24.68713
2.92,3.6353,32.62,-24.72002
2.919,3.6342,32.63,-24.75291
2.918,3.6331,32.64,-24.7858
2.917,3.6319,32.65,-24.81869
2.916,3.6308,32.66,-24.85158
2.915,3.6297,32.67,-24.88447
2.914,3.6286,32.68,-24.91736
2.913,3.6275,32.69,-24.95025
2.912,3.6263,32.7,-24.98314
2.911,3.6252,32.71,-25.01603
2.91,3.6241,32.72,-25.04892
2.909,3.623,32.73,-25.08181
2.908,3.6218,32.74,-25.1147
2.907,3.6207,32.75,-25.14759
2.906,3.6196,32.76,-25.18048
2.905,3.6185,32.77,-25.21337
2.904,3.6174,32.78,-25.24626
2.903,3.6162,32.79,-25.27915
2.902,3.6151,32.8,-25.31204
2.901,3.614,32.81,-25.34493
2.9,3.6129,32.82,-25.37782
2.899,3.6117,32.83,-25.41071
2.898,3.6106,32.84,-25.4436
2.897,3.6095,32.85,-25.47649
2.896,3.6084,32.86,-25.50938
2.895,3.6073,32.87,-25.54227
2.895,3.6061,32.88,-25.57516
2.894,3.605,32.89,-25.60805
2.893,3.6039,32.9,-25.64094
2.892,3.6028,32.91,-25.67383
2.891,3.6016,32.92,-25.70672
2.89,3.6005,32.93,-25.73961
2.889,3.5994,32.94,-25.7725
2.888,3.5983,32.95,-25.80539
2.887,3.5972,32.96,-25.83828
2.886,3.596,32.97,-25.87117
2.885,3.5949,32.98,-25.90406
2.884,3.5938,32.99,-25.93695
2.883,3.5927,33,-25.96984
2.882,3.5915,33.01,-26.00273
2.881,3.5904,33.02,-26.03562
2.88,3.5893,33.03,-26.06851
2.879,3.5882,33.04,-26.1014
2.878,3.5871,33.05,-26.13429
2.877,3.5859,33.06,-26.16718
2.876,3.5848,33.07,-26.20007
2.875,3.5837,33.08,-26.23296
2.874,3.5826,33.09,-26.26585
2.873,3.5814,33.1,-26.29874
2.872,3.5803,33.11,-26.33163
2.871,3.5792,33.12,-26.36452
2.87,3.5781,33.13,-26.39741
2.869,3.577,33.14,-26.4303
2.868,3.5758,33.15,-26.46319
2.867,3.5747,33.16,-26.49608
2.866,3.5736,33.17,-26.52897
2.865,3.5725,33.18,-26.56186
2.864,3.5713,33.19,-26.59475
2.864,3.5702,33.2,-26.62764
2.863,3.5691,33.21,-26.66053
2.862,3.568,33.22,-26.69342
2.861,3.5668,33.23,-26.72631
2.86,3.5657,33.24,-26.7592
2.859,3.5646,33.25,-26.79209
2.858,3.5635,33.26,-26.82498
2.857,3.5624,33.27,-26.85787
2.856,3.5612,33.28,-26.89076
2.855,3.5601,33.29,-26.92365
2.854,3.559,33.3,-26.95654
2.853,3.5579,33.31,-26.98943
2.852,3.5567,33.32,-27.02232
2.851,3.5556,33.33,-27.05521
2.85,3.5545,33.34,-27.0881
2.849,3.5534,33.35,-27.12099
2.848,3.5523,33.36,-27.15388
2.847,3.5511,33.37,-27.18677
2.846,3.55,33.38,-27.21966
2.845,3.5489,33.39,-27.25255
2.844,3.5478,33.4,-27.28544
2.843,3.5466,33.41,-27.31833
2.842,3.5455,33.42,-27.35122
2.841,3.5444,33.43,-27.38411
2.84,3.5433,33.44,-27.417
2.839,3.5422,33.45,-27.44989
2.838,3.541,33.46,-27.48278
2.837,3.5399,33.47,-27.51567
2.836,3.5388,33.48,-27.54856
2.835,3.5377,33.49,-27.58145
2.834,3.5365,33.5,-27.61434
2.833,3.5354,33.51,-27.64723
2.833,3.5343,33.52,-27.68012
2.832,3.5332,33.53,-27.71301
2.831,3.5321,33.54,-27.7459
2.83,3.5309,33.55,-27.77879
2.829,3.5298,33.56,-27.81168
2.828,3.5287,33.57,-27.84457
2.827,3.5276,33.58,-27.87746
2.826,3.5264,33.59,-27.91035
2.825,3.5253,33.6,-27.94324
2.824,3.5242,33.61,-27.97613
2.823,3.5231,33.62,-28.00902
2.822,3.522,33.63,-28.04191
2.821,3.5208,33.64,-28.0748
2.82,3.5197,33.65,-28.10769
2.819,3.5186,33.66,-28.14058
2.818,3.5175,33.67,-28.17347
2.817,3.5163,33.68,-28.20636
2.816,3.5152,33.69,-28.23925
2.815,3.5141,33.7,-28.27214
2.814,3.513,33.71,-28.30503
2.813,3.5119,33.72,-28.33792
2.812,3.5107,33.73,-28.37081
2.811,3.5096,33.74,-28.4037
2.81,3.5085,33.75,-28.43659
2.809,3.5074,33.76,-28.46948
2.808,3.5062,33.77,-28.50237
2.807,3.5051,33.78,-28.53526
2.806,3.504,33.79,-28.56815
2.805,3.5029,33.8,-28.60104
2.804,3.5018,33.81,-28.63393
2.803,3.5006,33.82,-28.66682
2.802,3.4995,33.83,-28.69971
2.802,3.4984,33.84,-28.7326
2.801,3.4973,33.85,-28.76549
2.8,3.4961,33.86,-28.79838
2.799,3.495,33.87,-28.83127
2.798,3.4939,33.88,-28.86416
2.797,3.4928,33.89,-28.89705
2.796,3.4917,33.9,-28.92994
2.795,3.4905,33.91,-28.96283
2.794,3.4894,33.92,-28.99572
2.793,3.4883,33.93,-29.02861
2.792,3.4872,33.94,-29.0615
2.791,3.486,33.95,-29.09439
2.79,3.4849,33.96,-29.12728
2.789,3.4838,33.97,-29.16017
2.788,3.4827,33.98,-29.19306
2.787,3.4816,33.99,-29.22595
2.786,3.4804,34,-29.25884
2.785,3.4793,34.01,-29.29173
2.784,3.4782,34.02,-29.32462
2.783,3.4771,34.03,-29.35751
2.782,3.4759,34.04,-29.3904
2.781,3.4748,34.05,-29.42329
2.78,3.4737,34.06,-29.45618
2.779,3.4726,34.07,-29.48907
2.778,3.4714,34.08,-29.52196
2.777,3.4703,34.09,-29.55485
2.776,3.4692,34.1,-29.58774
2.775,3.4681,34.11,-29.62063
2.774,3.467,34.12,-29.65352
2.773,3.4658,34.13,-29.68641
2.772,3.4647,34.14,-29.7193
2.771,3.4636,34.15,-29.75219
2.771,3.4625,34.16,-29.78508
2.77,3.4613,34.17,-29.81797
2.769,3.4602,34.18,-29.85086
2.768,3.4591,34.19,-29.88375
2.767,3.458,34.2,-29.91664
2.766,3.4569,34.21,-29.94953
2.765,3.4557,34.22,-29.98242
2.764,3.4546,34.23,-30.01531
2.763,3.4535,34.24,-30.0482
2.762,3.4524,34.25,-30.08109
2.761,3.4512,34.26,-30.11398
2.76,3.4501,34.27,-30.14687
2.759,3.449,34.28,-30.17976
2.758,3.4479,34.29,-30.21265
2.757,3.4468,34.3,-30.24554
2.756,3.4456,34.31,-30.27843
2.755,3.4445,34.32,-30.31132
2.754,3.4434,34.33,-30.34421
2.753,3.4423,34.34,-30.3771
2.752,3.4411,34.35,-30.40999
2.751,3.44,34.36,-30.44288
2.75,3.4389,34.37,-30.47577
2.749,3.4378,34.38,-30.50866
2.748,3.4367,34.39,-30.54155
2.747,3.4355,34.4,-30.57444
2.746,3.4344,34.41,-30.60733
2.745,3.4333,34.42,-30.64022
2.744,3.4322,34.43,-30.67311
2.743,3.431,34.44,-30.706
2.742,3.4299,34.45,-30.73889
2.741,3.4288,34.46,-30.77178
2.74,3.4277,34.47,-30.80467
2.74,3.4266,34.48,-30.83756
2.739,3.4254,34.49,-30.87045
2.738,3.4243,34.5,-30.90334
2.737,3.4232,34.51,-30.93623
2.736,3.4221,34.52,-30.96912
2.735,3.4209,34.53,-31.00201
2.734,3.4198,34.54,-31.0349
2.733,3.4187,34.55,-31.06779
2.732,3.4176,34.56,-31.10068
2.731,3.4165,34.57,-31.13357
2.73,3.4153,34.58,-31.16646
2.729,3.4142,34.59,-31.19935
2.728,3.4131,34.6,-31.23224
2.727,3.412,34.61,-31.26513
2.726,3.4108,34.62,-31.29802
2.725,3.4097,34.63,-31.33091
2.724,3.4086,34.64,-31.3638
2.723,3.4075,34.65,-31.39669
2.722,3.4064,34.66,-31.42958
2.721,3.4052,34.67,-31.46247
2.72,3.4041,34.68,-31.49536
2.719,3.403,34.69,-31.52825
2.718,3.4019,34.7,-31.56114
2.717,3.4007,34.71,-31.59403
2.716,3.3996,34.72,-31.62692
2.715,3.3985,34.73,-31.65981
2.714,3.3974,34.74,-31.6927
2.713,3.3963,34.75,-31.72559
2.712,3.3951,34.76,-31.75848
2.711,3.394,34.77,-31.79137
2.71,3.3929,34.78,-31.82426
2.709,3.3918,34.79,-31.85715
2.708,3.3906,34.8,-31.89004
2.708,3.3895,34.81,-31.92293
2.707,3.3884,34.82,-31.95582
2.706,3.3873,34.83,-31.98871
2.705,3.3862,34.84,-32.0216
2.704,3.385,34.85,-32.05449
2.703,3.3839,34.86,-32.08738
2.702,3.3828,34.87,-32.12027
2.701,3.3817,34.88,-32.15316
2.7,3.3805,34.89,-32.18605
2.699,3.3794,34.9,-32.21894
2.698,3.3783,34.91,-32.25183
2.697,3.3772,34.92,-32.28472
2.696,3.376,34.93,-32.31761
2.695,3.3749,34.94,-32.3505
2.694,3.3738,34.95,-32.38339
2.693,3.3727,34.96,-32.41628
2.692,3.3716,34.97,-32.44917
2.691,3.3704,34.98,-32.48206
2.69,3.3693,34.99,-32.51495
2.689,3.3682,35,-32.54784
2.688,3.3671,35.01,-32.58073
2.687,3.3659,35.02,-32.61362
2.686,3.3648,35.03,-32.64651
2.685,3.3637,35.04,-32.6794
2.684,3.3626,35.05,-32.71229
2.683,3.3615,35.06,-32.74518
2.682,3.3603,35.07,-32.77807
2.681,3.3592,35.08,-32.81096
2.68,3.3581,35.09,-32.84385
2.679,3.357,35.1,-32.87674
2.678,3.3558,35.11,-32.90963
2.677,3.3547,35.12,-32.94252
2.677,3.3536,35.13,-32.97541
2.676,3.3525,35.14,-33.0083
2.675,3.3514,35.15,-33.04119
2.674,3.3502,35.16,-33.07408
2.673,3.3491,35.17,-33.10697
2.672,3.348,35.18,-33.13986
2.671,3.3469,35.19,-33.17275
2.67,3.3457,35.2,-33.20564
2.669,3.3446,35.21,-33.23853
2.668,3.3435,35.22,-33.27142
2.667,3.3424,35.23,-33.30431
2.666,3.3413,35.24,-33.3372
2.665,3.3401,35.25,-33.37009
2.664,3.339,35.26,-33.40298
2.663,3.3379,35.27,-33.43587
2.662,3.3368,35.28,-33.46876
2.661,3.3356,35.29,-33.50165
2.66,3.3345,35.3,-33.53454
2.659,3.3334,35.31,-33.56743
2.658,3.3323,35.32,-33.60032
2.657,3.3312,35.33,-33.63321
2.656,3.33,35.34,-33.6661
2.655,3.3289,35.35,-33.69899
2.654,3.3278,35.36,-33.73188
2.653,3.3267,35.37,-33.76477
2.652,3.3255,35.38,-33.79766
2.651,3.3244,35.39,-33.83055
2.65,3.3233,35.4,-33.86344
2.649,3.3222,35.41,-33.89633
2.648,3.3211,35.42,-33.92922
2.647,3.3199,35.43,-33.96211
2.646,3.3188,35.44,-33.995
2.646,3.3177,35.45,-34.02789
2.645,3.3166,35.46,-34.06078
2.644,3.3154,35.47,-34.09367
2.643,3.3143,35.48,-34.12656
2.642,3.3132,35.49,-34.15945
2.641,3.3121,35.5,-34.19234
2.64,3.311,35.51,-34.22523
2.639,3.3098,35.52,-34.25812
2.638,3.3087,35.53,-34.29101
2.637,3.3076,35.54,-34.3239
2.636,3.3065,35.55,-34.35679
2.635,3.3053,35.56,-34.38968
2.634,3.3042,35.57,-34.42257
2.633,3.3031,35.58,-34.45546
2.632,3.302,35.59,-34.48835
2.631,3.3009,35.6,-34.52124
2.63,3.2997,35.61,-34.55413
2.629,3.2986,35.62,-34.58702
2.628,3.2975,35.63,-34.61991
2.627,3.2964,35.64,-34.6528
2.626,3.2952,35.65,-34.68569
2.625,3.2941,35.66,-34.71858
2.624,3.293,35.67,-34.75147
2.623,3.2919,35.68,-34.78436
2.622,3.2908,35.69,-34.81725
2.621,3.2896,35.7,-34.85014
2.62,3.2885,35.71,-34.88303
2.619,3.2874,35.72,-34.91592
2.618,3.2863,35.73,-34.94881
2.617,3.2851,35.74,-34.9817
2.616,3.284,35.75,-35.01459
2.615,3.2829,35.76,-35.04748
2.615,3.2818,35.77,-35.08037
2.614,3.2806,35.78,-35.11326
2.613,3.2795,35.79,-35.14615
2.612,3.2784,35.8,-35.17904
2.611,3.2773,35.81,-35.21193
2.61,3.2762,35.82,-35.24482
2.609,3.275,35.83,-35.27771
2.608,3.2739,35.84,-35.3106
2.607,3.2728,35.85,-35.34349
2.606,3.2717,35.86,-35.37638
2.605,3.2705,35.87,-35.40927
2.604,3.2694,35.88,-35.44216
2.603,3.2683,35.89,-35.47505
2.602,3.2672,35.9,-35.50794
2.601,3.2661,35.91,-35.54083
2.6,3.2649,35.92,-35.57372
2.599,3.2638,35.93,-35.60661
2.598,3.2627,35.94,-35.6395
2.597,3.2616,35.95,-35.67239
2.596,3.2604,35.96,-35.70528
2.595,3.2593,35.97,-35.73817
2.594,3.2582,35.98,-35.77106
2.593,3.2571,35.99,-35.80395
2.592,3.256,36,-35.83684
2.591,3.2548,36.01,-35.86973
2.59,3.2537,36.02,-35.90262
2.589,3.2526,36.03,-35.93551
2.588,3.2515,36.04,-35.9684
2.587,3.2503,36.05,-36.00129
2.586,3.2492,36.06,-36.03418
2.585,3.2481,36.07,-36.06707
2.584,3.247,36.08,-36.09996
2.584,3.2459,36.09,-36.13285
2.583,3.2447,36.1,-36.16574
2.582,3.2436,36.11,-36.19863
2.581,3.2425,36.12,-36.23152
2.58,3.2414,36.13,-36.26441
2.579,3.2402,36.14,-36.2973
2.578,3.2391,36.15,-36.33019
2.577,3.238,36.16,-36.36308
2.576,3.2369,36.17,-36.39597
2.575,3.2358,36.18,-36.42886
2.574,3.2346,36.19,-36.46175
2.573,3.2335,36.2,-36.49464
2.572,3.2324,36.21,-36.52753
2.571,3.2313,36.22,-36.56042
2.57,3.2301,36.23,-36.59331
2.569,3.229,36.24,-36.6262
2.568,3.2279,36.25,-36.65909
2.567,3.2268,36.26,-36.69198
2.566,3.2257,36.27,-36.72487
2.565,3.2245,36.28,-36.75776
2.564,3.2234,36.29,-36.79065
2.563,3.2223,36.3,-36.82354
2.562,3.2212,36.31,-36.85643
2.561,3.22,36.32,-36.88932
2.56,3.2189,36.33,-36.92221
2.559,3.2178,36.34,-36.9551
2.558,3.2167,36.35,-36.98799
2.557,3.2156,36.36,-37.02088
2.556,3.2144,36.37,-37.05377
2.555,3.2133,36.38,-37.08666
2.554,3.2122,36.39,-37.11955
2.553,3.2111,36.4,-37.15244
2.553,3.2099,36.41,-37.18533
2.552,3.2088,36.42,-37.21822
2.551,3.2077,36.43,-37.25111
2.55,3.2066,36.44,-37.284
2.549,3.2055,36.45,-37.31689
2.548,3.2043,36.46,-37.34978
2.547,3.2032,36.47,-37.38267
2.546,3.2021,36.48,-37.41556
2.545,3.201,36.49,-37.44845
2.544,3.1998,36.5,-37.48134
2.543,3.1987,36.51,-37.51423
2.542,3.1976,36.52,-37.54712
2.541,3.1965,36.53,-37.58001
2.54,3.1953,36.54,-37.6129
2.539,3.1942,36.55,-37.64579
2.538,3.1931,36.56,-37.67868
2.537,3.192,36.57,-37.71157
2.536,3.1909,36.58,-37.74446
2.535,3.1897,36.59,-37.77735
2.534,3.1886,36.6,-37.81024
2.533,3.1875,36.61,-37.84313
2.532,3.1864,36.62,-37.87602
2.531,3.1852,36.63,-37.90891
2.53,3.1841,36.64,-37.9418
2.529,3.183,36.65,-37.97469
2.528,3.1819,36.66,-38.00758
2.527,3.1808,36.67,-38.04047
2.526,3.1796,36.68,-38.07336
2.525,3.1785,36.69,-38.10625
2.524,3.1774,36.7,-38.13914
2.523,3.1763,36.71,-38.17203
2.522,3.1751,36.72,-38.20492
2.522,3.174,36.73,-38.23781
2.521,3.1729,36.74,-38.2707
2.52,3.1718,36.75,-38.30359
2.519,3.1707,36.76,-38.33648
2.518,3.1695,36.77,-38.36937
2.517,3.1684,36.78,-38.40226
2.516,3.1673,36.79,-38.43515
2.515,3.1662,36.8,-38.46804
2.514,3.165,36.81,-38.50093
2.513,3.1639,36.82,-38.53382
2.512,3.1628,36.83,-38.56671
2.511,3.1617,36.84,-38.5996
2.51,3.1606,36.85,-38.63249
2.509,3.1594,36.86,-38.66538
2.508,3.1583,36.87,-38.69827
2.507,3.1572,36.88,-38.73116
2.506,3.1561,36.89,-38.76405
2.505,3.1549,36.9,-38.79694
2.504,3.1538,36.91,-38.82983
2.503,3.1527,36.92,-38.86272
2.502,3.1516,36.93,-38.89561
2.501,3.1505,36.94,-38.9285
2.5,3.1493,36.95,-38.96139
2.499,3.1482,36.96,-38.99428
2.498,3.1471,36.97,-39.02717
2.497,3.146,36.98,-39.06006
2.496,3.1448,36.99,-39.09295
2.495,3.1437,37,-39.12584
2.494,3.1426,37.01,-39.15873
2.493,3.1415,37.02,-39.19162
2.492,3.1404,37.03,-20.014964
2.491,3.1392,37.04,-20.018253
2.491,3.1381,37.05,-20.021542
